Posts,Emotion
chào tết buồn mấy mẹ_con chẳng quê tết chẳng quần_áo chẳng quà chẳng bánh thất_bại mẹ đơn_thân vất_vả trải mẹ đi đồ_ăn ngon túi nilon gói con_mẹ cơm nước_tương trêu cười khinh_thường cười nhạo tai sợ đứa đói_khổ hôm_qua con_bé chửi đồ đồ nghèo thằng_cha điên đừng cố động_viên đêm khóc đau lắm dịch đói_khổ tết chẳng mua nổi đồ toàn đi đồ cũ mặc đau_lòng cảm thâys lỗi xin_lỗi câu_chuyện vui chúc mạnh_khoẻ hạnh_phúc nha,2
khiếp đi tụi,3
review giúp laptop sv ngoại_ngữ bền_bỉ ổn_áp tầm tr,5
toại_nguyện yên_tâm,5
tuổi_thơ tao n nướng thằn_lằn,1
nhện yêu mày,1
phim đấy hội mụ đéo mất_công ghi phim ghi đàng_hoàng bất lịch_sự,0
mong sử phạt giao_thông mạnh_tay,5
friendly facebook heretôi áp_lực kém quácảm giác thở buồn_nôn vllàm saobên mấy giờgần h sángông cảm_giác chờ_đợi chứthời trẻ_con vui sợừkiểu thếcuộc sống vui rồithì thếừ mớimà vui sợ nhiềuhaizzsợ chìm đóôi legends have depressionlên legend đilàm ván dota bớt sợ nàotôi ước thếmà buồn_nôn lắmvl buồn nônstress rồicảm giác phòng thi_vấn_đáp vậygần cứng ngườibuồn nônho khantay run runđi bác_sĩ tâm_lý điủa cảm_giác vô_vi vui vẻtôi hơi trẻ_con tý thoải máisang vui vl quảnkhông chạm mìnhsống tâm sựđầythiếu việt namkhông nói_chuyện bọn tâybọn tiếp_chuyện ngaycó chứà ừgiả sử dota mấy nhậtdễ vuicòn mấy sâu_kín kiểu xưathì nóitôi ước dota cứu tôinhư xưahồi anh_em vui quáđi học chiều_qua dota nhảmmới lo họcừhồi vui quátrốn học đi vuichả lo_nghĩ gìlúc bèmà dota cứu rồinagi ổn_định kohoặc sống đượctôi mộttrưởng vợ tịtmà đếndota cứu thoải máimỗi tối game đềungày đi đi học chẳng nữachưa nghĩtôi ta sống một_mình ổncòn tâm sựthì thôiôi ơichính sinh tâm sựvề nín_nhịn câm lặngvậy saotội nghiệpông già hiền bà_già hếtcả đời cãi nịnh nhaubí quyết đấy chồng hiền vợ quyết liệttôi sống thoải_mái có_lẽ đượcteam tan_tác hà_nội đâuừ nói_chuyện hirobuổi tối online steam tâm_hồn cứu đượcừ hồi tưng vuigiờ nick steam yên tâmừ sợ quátôi cảm_giác trướcđọc bao sách cứu àđừng đọc sách dota đitrước bắn đầu mìnhofflaner chuyên đi hardlane thế_này saovững đá ra_đời nhócmẹ bảo bố nằm bào_thai non co quắplul mẹ vui_tính ghêbố mẹ dỗi vuiem đi mua điện_thoại bố đượchnay kiểm_tra điện_thoại bố emkhông bấm nổi hừmhmmđến gọi chết dởhicem phim đi haycảm độnghừmem đi nhỉanh niềm vui hôngvề trêu bố_mẹ ákiểu phim hàn tán nhảm kiểu nam xinh nữ dễ_thương nhỉtrời địu phim hànem tưởng lớntrời phim hànđọc ngôn tình trung quốcchắc emnếu sến áp gấp lầnhồi mua sách gọi liềnsau đóbạn hơnbạn mượn sáchhồi tiềnđiều lăn_tăn thể_hiện ủng_hộ bạnkhông đọc ýngại vlerem đọc chán chán motype nhauđụgiờ lạithấy vui rợnquyển cùngem đọc bạnlà giấc mơcủa marc levyđọc triết_lý sốngcó kiến_thức y khoavà giáo_dục_gia đìnhnhững ấn_tượng tình_yêu nhân_vật chínhmà bạn_đọc lắm đọc quyển shock tận óc tuần rồibạn đme ông_già kiaem ghét vlintrước yêu lão vui_vẻ chan hoàem đọc mấy tus lão đấyem lão già khinh đéo cl gìtại lão bạnem thua cuộc_chiến ảnh hưởngchắc lão đọc marc levy đấy lulblehvăn lão cứt đ đọc bàilão thời phậnđấy tương tựcó xamlinsuy thế_giới đ thằng miệng_lưỡi hànghahahlul may tý mồm ca_thán lung tungnên im_lặng khôngtheo quan_sát mặt_mũi lão tacái tướng_tá lòng_khòng hom_hem mắt gian trố mặt chuột tai dơiđ ổn đ ổnđụ khẩu nghiệp trờiem đượccơ ngây_thơ mấy đoém chẳng dám khôn dị_ứng vlin mấy trải_đời lãođọc dòng lão đụng emem tý hócem chẳng tí nàongày xưa ngầu cựcvui lão nhiềuđúng duyên_số ạlul tả buồn_cười ghêừ mật chết ruồicon gái yêu tai thôibạn faillen chiến_binh trảicũng phảimà khôngtừng trải ccmấy lão post đọc check in cuộc_đời đéo sốngmột dạng non cảm giácđéo ổn đ ổnthời đại check in emcơ mấy bọn trẻ trâu theocno thoái_hoá nhân cáchcó mấy ảnh lão chụp nudeem ghét vlinxong coi đấy nghệ thuậtnghệ thuật đem post facebook àthế hơi tội_nghiệp nghệ_thuật đi likethôi mớivà đ bạnem xã_hội thối nátem đi du họctìm đường cứu nướcxong trải đờitôi đá ra_đời nhóccó best seller lulđi đi viết đi hứa mua quyển đầu tiênyeah,2
add ảnh đời dume,0
tàn_nhẫn trao hy_vọng dập tắt đi,2
aeon đấy,1
mười dời việt_nam đi du_học bà_con cô_bác nhắc học xong quê_hương phục_vụ tổ_quốc nói_chuyện câu ta đổi kiểu câu tiền việt_nam sướng ta việt_nam rẻ mỹ đi bận giúp_việc ta phân_biệt đối_xử việt_nam giàu sướng tiên cơm uống tận miệng hầu hạ thuế đóng thiên_hạ nhanh_nhẹn kiếm tiền cuộc_sống dễ_dàng lắm việt_nam giàu quen_biết uẩn_khúc giải_quyết bệnh tiền chữa cần_kíp gọi điện quen chỗ chỗ kia đầu hàngtừ thời sinh_viên mỹ có_lẽ thu_nhập đáy xã_hội thuê nhà_trọ cũ phòng đêm mở_cửa đi tè nhón chân_không cọt_kẹt thèm đồ_ăn phóng xe_đạp đi mua bánh hamburger mcdonalds giá đô cộng gói khoai_tây chiên xoắn giá đô đô hôm phóng xe_đạp đi chợ mua đồ ấn_độ cạnh google nấu món ấn_độ xong quy_định bếp đấy đi_rửa bát thừa ebay nhập linh_kiện điện_tử trung_quốc thừa mỹ nuôi thú_vui nghịch đồ điện_tử sống để_dành một_hai trăm đô phòng trái_gió_trở_trời đồ tiền tiềnsau trường việc_làm thu_nhập hồi sinh_viên thuê căn_hộ nấu_ăn đồ ấn_độ mua hamburger hamburger mcdonalds ngon xưa khoai_tây chiên xoắn giòn xưa quần_áo thành đống tuần đi khuân giặt xong đi_rửa bát viết code hàn_gắn mấy đồ arduino nhái giá usd bo_mạch điện_thoại iphone màu hồng mua màu hồng khuyến_mãi mua đồ đi mua đồ second hand chế hôm_nay đi xe_đạp second hand viết máy_tính lắp máy_tính cài ubuntu hệ_điều_hành miễn_phí viết gò lưng mấy tiếng viết tiền tài_khoản con_số con_số nhà_băng nhích hai tài_khoản kg chừng đấy chừng đấy tiêu chừng đấy đi tí trớ_trêu quen hàn_vi hàn_vi đấytrong mười lẻ mỹ đánh đánh mười cúi đầu đất đi học xứ người_thân gây_dựng việt_nam ám_ảnh nỗi sợ kẻ kém_cỏi thua viết đại_học việt_nam ý_muốn đi du_học đường đuổi phòng thi trường học hôm hôm hôm bình_thường hôm đi thi vớ_vẩn đuổi phòng thi đứng một_mình xưng thầy đứng quyết_định cuộc_đời đường cãi bênh bạn_bè lớp dám đứng phản_đối thất_thểu điện_thoại bố quen trường phút đỗ kỳ thi cố_gắng học kiếm ý_nghĩa may_mắn thay giới_thiệu đi học mỹ xảy việt_nam xảy mỹ có_lẽ đường học mỹ sợ_hãi sợ_hãi lỗi kém_cỏi sợ_hãi xảy việt_nam xảy sợ_hãi sợ_hãi đào sâu chôn chặt sợ_hãi thếmình việt_nam có_lẽ việt_nam vốn_liếng tích_luỹ nhậu tiền mua việt_nam sợ việt_nam đi học lớp cố_gắng trường quên xe bus bình_thường bao bình_thường tiền quan_hệ tai_hoạ giáng gia_đình bình_thường sự_thực diễn quy đi kiếm tiền bình_thường kẻ giết bảo_vệ cuộc_đời ngoắt độ bình_thường sinh_viên đại họcmình mong câu tiền việt_nam sướng cuộc_sống sống xã_hội đo hạnh_phúc đo công_lý tài_khoản đổi hạnh_phúc công_bằng giàu đo công_lý tài_khoản đổi công_bằng mìnhngày xưa đọc dế_mèn phiêu_lưu ký đoạn nàynhưng tỉnh_ngộ trời_ơi hai đứa trẻ bắt vòng u_tối đi đánh làm_trò cười thiên_hạ ác kẻ đánh họ_hàng dế thở_dài thầm hôm ta vướng lẫm lỗi mắc lỗi ôi ta hèn may xiến tóc giết ngoém ta đi đời hồ_dễ bắt_nạt nổi ta đánh kẻ yếu ta kẻ ta đánh ta giấc mê kia tỉnh rồinghĩ tạm yên hết_nhẽ hung_hăng xằng_bậy đi rời hai đứa trẻ mục_đích bắt làm_trò choảng cười văng_vẳng tai hai tiếng thoát lyhôm giúp quyết_định đứng giúp tiếp lá thư,5
đúng_sai chẳng chẳng ồn_ào chẳng tranh_cãi con_người ta đơn_giản bình_yên ta khen chê yêu ghét nói_xấu chân_thành giả_dối đơn_giản cuộc_sống muôn_màu_muôn_vẻ đời bài_học quý_giá chấp_nhận,5
thái_bình nắng to,5
mem cm than_thở chút t t cày_cuốc mấy loanh_quanh mua xe ghẻ che nắng che mưa xe đểu mồ_hôi công_sức vợ đợt vắt tranh tuần mượn xe quê chẳng anh_em mượn ok kiểu mượn xong chẳng đổ xăng rửa xe mấy tiện đi dọn_dẹp hôm_nay xe đi xe lấm mở_cửa xe nồng_nặc mùi cá kinh_khủng nhắn_tin nói_chuyện bảo vợ kêu anh_em mượn xe xong up story nói_kháy cọc chúng_mày lsao mượn dở mượn dở_hơi cám lợn cmnl khó_tính chúng_mày,4
kết truyện chất ghê,1
thu trăm tỷ phạt tr tỉnh hành_nghề ha_ha,5
án xử dân,2
ngon saoooo,0
đm main đi,1
đai tốc_độ kiểu mấy đau đẻ xác_định đẻ xe đi hẳn đem bệnh_viện,0
nói_chuyện nói_chuyện mày giết bỉu mày tưởng_tượng chi,0
pháp bình_yên,2
tuần nói_chuyện,2
